pts_home_roll10,fg_pct_home_roll10,fg3_pct_home_roll10,ft_pct_home_roll10,reb_home_roll10,ast_home_roll10,stl_home_roll10,blk_home_roll10,tov_home_roll10,plus_minus_home_roll10,pts_away_roll10,fg_pct_away_roll10,fg3_pct_away_roll10,ft_pct_away_roll10,reb_away_roll10,ast_away_roll10,stl_away_roll10,blk_away_roll10,tov_away_roll10,plus_minus_away_roll10,home_win_rate_roll10,team_id_home_enc,team_id_away_enc,season_type_Pre Season,season_type_Regular Season,is_home_favored,home_win,game_date,sample_weight
111.66666666666667,0.476,0.3213333333333333,0.8073333333333333,41.333333333333336,23.666666666666668,6.666666666666667,4.0,15.666666666666666,-6.0,101.66666666666667,0.4036666666666666,0.328,0.8353333333333333,38.666666666666664,18.0,7.666666666666667,4.0,15.666666666666666,-13.666666666666666,0.3333333333333333,9,0,False,True,1,1,2018-01-08,0.1224564282529819
98.5,0.41825,0.34625,0.83325,50.0,18.0,5.0,6.5,16.75,0.25,97.0,0.4343333333333333,0.32966666666666666,0.7519999999999999,36.0,21.0,6.0,3.3333333333333335,11.0,-15.333333333333334,0.5,14,28,False,True,1,0,2018-01-10,0.1224564282529819
109.33333333333333,0.531,0.3906666666666667,0.6816666666666666,40.333333333333336,25.666666666666668,7.666666666666667,4.0,16.666666666666668,2.6666666666666665,99.0,0.418,0.283,0.8103333333333333,42.333333333333336,23.0,4.333333333333333,4.333333333333333,11.666666666666666,-8.333333333333334,0.3333333333333333,27,16,False,True,1,1,2018-01-12,0.1224564282529819
115.25,0.49775,0.38075,0.8185,47.25,26.0,10.25,4.25,12.0,20.0,102.0,0.47433333333333333,0.37600000000000006,0.8493333333333334,44.666666666666664,18.333333333333332,7.333333333333333,6.0,16.333333333333332,-6.0,1.0,13,15,False,True,1,1,2018-01-12,0.1224564282529819
113.33333333333333,0.5363333333333333,0.286,0.711,44.666666666666664,22.333333333333332,8.333333333333334,4.0,14.333333333333334,14.666666666666666,104.25,0.4175,0.316,0.82325,41.25,21.25,5.0,4.25,14.25,-18.0,0.6666666666666666,17,2,False,True,1,1,2018-01-12,0.1224564282529819
114.0,0.45333333333333337,0.41,0.8336666666666667,46.0,27.666666666666668,5.333333333333333,4.666666666666667,12.666666666666666,-7.333333333333333,101.25,0.45475,0.36624999999999996,0.73075,40.5,21.75,7.0,3.5,11.5,-3.0,0.0,4,28,False,True,1,1,2018-01-13,0.1224564282529819
115.8,0.5014000000000001,0.3786,0.7798,46.4,27.4,10.6,4.2,12.0,18.0,115.2,0.47220000000000006,0.3794,0.7772,42.8,22.8,8.0,4.8,12.8,-3.4,1.0,13,20,False,True,1,1,2018-01-14,0.1224564282529819
107.0,0.466,0.36533333333333334,0.7923333333333332,40.666666666666664,24.666666666666668,7.333333333333333,4.666666666666667,11.666666666666666,4.0,111.0,0.47333333333333333,0.3526666666666667,0.8466666666666667,40.666666666666664,21.666666666666668,10.333333333333334,4.333333333333333,16.333333333333332,-3.3333333333333335,1.0,11,12,False,True,1,1,2018-01-14,0.1224564282529819
109.66666666666667,0.4673333333333334,0.39266666666666666,0.8596666666666667,45.666666666666664,24.0,9.0,4.333333333333333,15.333333333333334,10.333333333333334,122.33333333333333,0.49100000000000005,0.33066666666666666,0.868,47.666666666666664,22.333333333333332,8.333333333333334,7.333333333333333,12.333333333333334,9.666666666666666,0.6666666666666666,18,24,False,True,1,1,2018-01-15,0.1224564282529819
114.4,0.5311999999999999,0.3714,0.6936,41.8,26.8,8.4,4.2,15.4,4.0,103.0,0.434,0.30025,0.8665,40.5,18.5,9.75,3.5,16.0,-7.0,0.6,27,12,False,True,1,0,2018-01-15,0.1224564282529819
113.8,0.48719999999999997,0.3702,0.7888,42.0,23.2,8.2,5.2,16.0,0.8,111.25,0.4405,0.36225,0.83325,49.25,25.0,7.0,4.25,14.75,9.25,0.6,9,8,False,True,1,1,2018-01-15,0.1224564282529819
96.33333333333333,0.401,0.3421666666666667,0.8453333333333334,46.666666666666664,17.833333333333332,6.0,5.166666666666667,16.333333333333332,-8.0,100.5,0.4403333333333333,0.3925,0.7705000000000001,42.333333333333336,21.166666666666668,8.0,4.666666666666667,13.0,-1.0,0.3333333333333333,14,22,False,True,1,0,2018-01-17,0.1224564282529819
119.5,0.46699999999999997,0.3765,0.7885,46.0,23.25,5.25,7.25,9.25,8.75,102.0,0.453,0.3758,0.7418,41.4,23.0,7.2,4.2,12.0,-2.8,0.5,24,28,False,True,1,1,2018-01-17,0.1224564282529819
113.66666666666667,0.4988333333333334,0.37516666666666665,0.7823333333333333,41.833333333333336,24.333333333333332,7.833333333333333,6.0,16.5,2.5,97.33333333333333,0.435,0.351,0.782,42.0,22.666666666666668,6.333333333333333,4.333333333333333,18.0,-16.666666666666668,0.6666666666666666,9,6,False,True,1,1,2018-01-17,0.1224564282529819
109.33333333333333,0.4463333333333333,0.3503333333333334,0.8116666666666666,48.0,21.666666666666668,7.0,7.333333333333333,15.0,3.3333333333333335,106.6,0.49540000000000006,0.4382,0.7836000000000001,44.2,21.4,6.6,6.8,14.8,-2.6,0.6666666666666666,26,15,False,True,1,1,2018-01-17,0.1224564282529819
113.6,0.46399999999999997,0.4224,0.8064,44.6,27.4,6.4,4.8,12.6,-2.4,120.5,0.5188333333333334,0.3758333333333333,0.8155,44.333333333333336,31.833333333333332,7.666666666666667,5.833333333333333,13.166666666666666,9.166666666666666,0.4,4,7,False,True,1,0,2018-01-17,0.1224564282529819
108.0,0.4865,0.357,0.7785,43.75,21.25,8.0,2.5,14.5,-6.25,97.0,0.4335,0.33825,0.75975,45.25,20.75,8.25,5.25,14.0,-4.25,0.25,21,25,False,True,1,0,2018-01-17,0.1224564282529819
102.8,0.454,0.34240000000000004,0.6679999999999999,48.4,26.4,10.4,4.2,18.6,-1.4,104.0,0.49025,0.37124999999999997,0.794,40.25,21.75,6.75,2.25,10.75,0.75,0.6,10,17,False,True,1,1,2018-01-19,0.1224564282529819
114.8,0.4586,0.3722,0.7786,46.6,23.4,5.4,7.4,11.6,8.0,100.42857142857143,0.4367142857142857,0.4041428571428571,0.7664285714285715,42.285714285714285,21.571428571428573,8.0,4.571428571428571,12.428571428571429,-0.14285714285714285,0.6,24,22,False,True,1,1,2018-01-19,0.1224564282529819
96.14285714285714,0.404,0.34485714285714286,0.8198571428571428,46.714285714285715,18.571428571428573,5.571428571428571,4.571428571428571,16.0,-7.571428571428571,105.25,0.468,0.34125,0.76175,46.75,26.5,4.25,7.75,14.75,1.5,0.2857142857142857,14,11,False,True,1,1,2018-01-19,0.1224564282529819
104.4,0.46299999999999997,0.3426,0.7152000000000001,43.8,24.8,9.6,4.4,15.2,6.0,103.66666666666667,0.4206666666666667,0.3313333333333333,0.7786666666666666,41.333333333333336,23.0,9.666666666666666,2.0,16.0,-14.666666666666666,0.8,6,19,False,True,1,0,2018-01-19,0.1224564282529819
108.5,0.4525,0.38075000000000003,0.70175,47.0,19.0,6.75,4.75,12.25,5.25,103.2,0.45780000000000004,0.3366,0.7534,46.0,25.6,4.8,7.6,14.4,0.0,0.5,29,11,False,True,1,0,2018-01-20,0.1224564282529819
